"","order","family","genus","species.epithet","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","min.width.blade","max.width.blade","leaf.type","length.leaf.cm","width.leaf.cm","species","long.hoja","long.hoja.mean","long.lam.pet.mean"
"1","Alismatales","Araceae","Anthurium","scandens",1.04,23.69,15.11,NA,NA,2,8.5,3.5,13,1.5,5,"simple",NA,NA,"Anthurium_scandens",5,NA,13.5
"2","Alismatales","Araceae","Dieffenbachia","seguine",0.78,66.17,28.65,NA,NA,1,16,5,15,2.5,9,"simple",NA,NA,"Dieffenbachia_seguine",9,NA,18.5
"3","Apiales","Araliaceae","Aralia","excelsa",14.23,126.92,51.5,NA,NA,NA,NA,NA,NA,40,50,"compound",200,NA,"Aralia_excelsa",50,NA,NA
"4","Apiales","Araliaceae","Dendropanax","arboreus",11.61,77.86,28.67,NA,NA,NA,40,6,26,3,14,"simple",NA,NA,"Dendropanax_arboreus",14,NA,NA
"5","Apiales","Araliaceae","Hedera","helix",10.5,44.53,14.19,4.165,12.17,1.718,8.162,2.447,5.03,3.358,8.512,"simple",7.84,6.0266,"Hedera_helix",8.512,8.1675,8.6785
"6","Apiales","Araliaceae","Polyscias","murrayi",25.33,92.48,30.89,NA,NA,NA,NA,NA,NA,10,32,"compound",130,22,"Polyscias_murrayi",32,NA,NA
"8","Apiales","Pennantiaceae","Pennantia","cunninghamii",7.57,50.11,20.06,10,16,NA,NA,NA,NA,5,8,"simple",NA,NA,"Pennantia_cunninghamii",8,13,NA
"9","Apiales","Pittosporaceae","Billardiera","scandens",3.28,34.51,12.06,1.711,3.934,0.214,0.458,1.539,3.476,0.413,1.456,"simple",2.552,0.8698,"Billardiera_scandens",1.456,2.8225,2.8435
"10","Apiales","Pittosporaceae","Citriobatus","pauciflorus",1.27,36.13,23.66,0.531,1.642,0.102,0.311,0.965,1.412,0.457,0.735,"simple",1.2452,0.5878,"Citriobatus_pauciflorus",0.735,1.0865,1.395
"11","Apiales","Pittosporaceae","Pittosporum","undulatum",11.12,46.96,17.81,7.903,13.991,1.085,2.381,6.818,11.61,2.11,3.592,"simple",11.3062,3.0652,"Pittosporum_undulatum",3.592,10.947,10.947
"12","Aquifoliales","Aquifoliaceae","Ilex","aquifolium",5.73,32.08,10.31,4.147,11.24,0.567,1.285,3.58,10.051,1.141,4.971,"simple",7.8406,2.9074,"Ilex_aquifolium",4.971,7.6935,7.7415
"13","Aquifoliales","Aquifoliaceae","Ilex","sebertii",6.26,55.51,12.13,5.749,10.575,1.002,2.161,4.535,8.414,2.814,5.229,"simple",7.4934,3.5344,"Ilex_sebertii",5.229,8.162,8.056
"14","Aquifoliales","Aquifoliaceae","Ilex","verticillata",5.07,30.76,10.36,NA,NA,0.5,1,2,8,2,4,"simple",NA,NA,"Ilex_verticillata",4,NA,5.75
"15","Aquifoliales","Cardiopteridaceae","Citronella","smythii",5.62,65.93,22.79,11.345,15.94,1.071,1.296,10.116,14.869,3.932,6.516,"simple",14.138,5.4016,"Citronella_smythii",6.516,13.6425,13.676
"16","Aquifoliales","Stemonuraceae","Gomphandra","australiana",14.07,101.53,26.24,NA,NA,0.7,1.5,6,17,5,8,"simple",NA,NA,"Gomphandra_australiana",8,NA,12.6
"17","Arecales","Arecaceae","Astrocaryum","mexicanum",3.54,67.99,54.3,100,160,NA,NA,40,100,80,200,"compound",NA,NA,"Astrocaryum_mexicanum",200,130,NA
"18","Arecales","Arecaceae","Bactris","trichophylla",1.93,74.56,65.01,NA,NA,NA,NA,NA,NA,NA,NA,"compound",150,80,"Bactris_trichophylla",NA,NA,NA
"19","Arecales","Arecaceae","Calamus","radicalis",31.5,272.49,130.37,NA,NA,NA,NA,NA,NA,15,30,"compound",300,NA,"Calamus_radicalis",30,NA,NA
"20","Arecales","Arecaceae","Livistona","australis",6.67,92.8,38.27,NA,NA,140,250,110,130,NA,NA,"simple",NA,NA,"Livistona_australis",NA,NA,315
"21","Arecales","Arecaceae","Reinhardtia","gracilis",1.1,41.39,33.95,12,30,7,60,8.5,25,2.6,13,"compound",NA,NA,"Reinhardtia_gracilis",13,21,50.25
"22","Arecales","Arecaceae","Washingtonia","robusta",11.3,77.23,65.82,NA,NA,81,154,93,113,90,148,"simple",NA,NA,"Washingtonia_robusta",148,NA,220.5
"24","Asparagales","Asparagaceae","Eustrephus","latifolius",4.12,52.93,31.54,NA,NA,0.1,0.3,4,10.5,1.2,3.5,"simple",9.5,NA,"Eustrephus_latifolius",3.5,NA,7.45
"25","Asterales","Alseuosmiaceae","Crispiloba","disperma",4.49,33.62,17.21,9.764,11.517,0.518,1.371,9.246,10.774,2.709,3.272,"simple",10.808,3.027667,"Crispiloba_disperma",3.272,10.6405,10.9545
"26","Asterales","Alseuosmiaceae","Platyspermation","crassifolium",2.6,30.94,17.56,4.961,7.756,0.779,0.872,4.089,6.977,1.173,1.47,"simple",6.407333,1.286,"Platyspermation_crassifolium",1.47,6.3585,6.3585
"27","Asterales","Argophyllaceae","Argophyllum","cryptophlebum",0.97,27.32,19,NA,NA,1.3,3.8,4.1,13.1,2.1,6.1,"simple",11.15,NA,"Argophyllum_cryptophlebum",6.1,NA,11.15
"28","Asterales","Argophyllaceae","Argophyllum","grunowii",2.2,30.38,18.6,6.724,14.732,1.614,3.714,5.11,11.018,2.13,5.283,"simple",10.522,3.722,"Argophyllum_grunowii",5.283,10.728,10.728
"29","Asterales","Argophyllaceae","Argophyllum","nitidum",5,88.99,9.82,6.033,13.058,1.094,2.517,4.939,10.541,2.514,4.678,"simple",10.7294,3.637,"Argophyllum_nitidum",4.678,9.5455,9.5455
"30","Asterales","Argophyllaceae","Argophyllum","vernicosum",1.82,44.56,11.95,8.102,26.838,1.594,8.097,6.508,18.741,2.379,10.787,"simple",15.8414,5.6322,"Argophyllum_vernicosum",10.787,17.47,17.47
"32","Asterales","Asteraceae","Ambrosia","artemisiifolia",0.9,24.84,15.13,NA,NA,2.5,3.5,2.5,5.5,2,3,"simple",NA,NA,"Ambrosia_artemisiifolia",3,NA,7
"33","Asterales","Asteraceae","Artemisia","californica",1.1,24.44,11.3,NA,NA,NA,NA,3,5,0.5,2,"simple",NA,NA,"Artemisia_californica",2,NA,NA
"34","Asterales","Asteraceae","Baccharis","reticulata",0.64,27.64,11.82,NA,NA,NA,NA,NA,NA,NA,NA,"simple",1,5,"Baccharis_reticulata",NA,NA,NA
"36","Asterales","Asteraceae","Brickellia","californica",1.72,41.3,17.67,NA,NA,0.5,6,1,10,1,9,"simple",NA,NA,"Brickellia_californica",9,NA,8.75
"37","Asterales","Asteraceae","Cassinia","denticulata",1.29,23.06,14.66,0.676,1.725,NA,NA,0.676,1.725,0.329,0.576,"simple",1.458,0.4224,"Cassinia_denticulata",0.576,1.2005,NA
"38","Asterales","Asteraceae","Chiliotrichum","diffusum",0.84,17.13,8.52,1.18,1.858,NA,NA,1.18,1.858,0.355,0.48,"simple",1.532,0.4326,"Chiliotrichum_diffusum",0.48,1.519,NA
"40","Asterales","Asteraceae","Delairea","odorata",2.11,68.44,23.01,7,8,NA,NA,3,8,NA,NA,"simple",NA,NA,"Delairea_odorata",NA,7.5,NA
"41","Asterales","Asteraceae","Encelia","virginensis_var_actonii",0.59,40.95,16.54,NA,NA,0.6,1.2,2.5,4,NA,NA,"simple",NA,NA,"Encelia_virginensis_var_actonii",NA,NA,4.15
"42","Asterales","Asteraceae","Ericameria","arborescens",0.77,28.28,10.05,2.5,9,NA,NA,2.5,9,0.05,0.3,"simple",NA,NA,"Ericameria_arborescens",0.3,5.75,NA
"43","Asterales","Asteraceae","Ericameria","martirensis",0.32,25.13,9.09,0.6,1,NA,NA,NA,NA,0.1,0.2,"simple",NA,NA,"Ericameria_martirensis",0.2,0.8,NA
"44","Asterales","Asteraceae","Ericameria","pinifolia",0.38,30.92,9.72,NA,NA,NA,NA,1.2,3.5,0.05,0.105,"simple",NA,NA,"Ericameria_pinifolia",0.105,NA,NA
"45","Asterales","Asteraceae","Gochnatia","polymorpha",8.8,62.6,10.43,8,12,NA,NA,NA,NA,3,5,"simple",NA,NA,"Gochnatia_polymorpha",5,10,NA
"46","Asterales","Asteraceae","Gynoxys","cuicochensis",1.17,18.92,13.08,NA,10,NA,NA,NA,NA,NA,NA,"simple",NA,NA,"Gynoxys_cuicochensis",NA,NA,NA
"47","Asterales","Asteraceae","Hazardia","squarrosa",0.64,19.76,11.34,NA,NA,NA,NA,1.3,3.5,0.5,1.7,"simple",NA,NA,"Hazardia_squarrosa",1.7,NA,NA
"48","Asterales","Asteraceae","Hieracium","hieronymi",0.65,31.67,14.13,4.7,12.25,NA,NA,NA,NA,0.27,3.75,"simple",NA,NA,"Hieracium_hieronymi",3.75,8.475,NA
"49","Asterales","Asteraceae","Malacothrix","saxatilis",1.13,24.8,16.18,2,12,NA,NA,NA,NA,NA,NA,"simple",NA,NA,"Malacothrix_saxatilis",NA,7,NA
"50","Asterales","Asteraceae","Ozothamnus","hookeri",0.47,15.98,4.08,0.1,0.3,NA,NA,NA,NA,0.05,0.1,"simple",NA,NA,"Ozothamnus_hookeri",0.1,0.2,NA
"51","Asterales","Asteraceae","Ozothamnus","ledifolius",0.27,18.84,3.63,0.6,1.4,NA,NA,NA,NA,0.1,0.2,"simple",NA,NA,"Ozothamnus_ledifolius",0.2,1,NA
"52","Asterales","Asteraceae","Ozothamnus","rodwayi",0.61,27.19,13.95,0.4,1,0,0.15,NA,NA,0.2,0.5,"simple",NA,NA,"Ozothamnus_rodwayi",0.5,0.7,NA
"53","Asterales","Asteraceae","Piptocarpha","rotundifolia",4.27,87.08,13.64,3.5,6,1,1.5,NA,NA,3,6,"simple",NA,NA,"Piptocarpha_rotundifolia",6,4.75,NA
"55","Asterales","Asteraceae","Senecio","sericeo_nitens",0.86,31.22,10.62,NA,3,NA,NA,NA,NA,NA,0.08,"simple",NA,NA,"Senecio_sericeo_nitens",0.08,NA,NA
"56","Asterales","Asteraceae","Solidago","rugosa",1.22,14.52,9.83,NA,NA,NA,NA,4,10.4,1.2,2.5,"simple",NA,NA,"Solidago_rugosa",2.5,NA,NA
"57","Asterales","Asteraceae","Verbesina","lottiana",5.12,36.92,14.11,NA,17.4,NA,NA,NA,NA,NA,10.6,"simple",NA,NA,"Verbesina_lottiana",10.6,NA,NA
"58","Asterales","Asteraceae","Vernonanthura","phosphorica",3.13,49.63,14.35,NA,12,5,7,NA,NA,NA,NA,"simple",NA,NA,"Vernonanthura_phosphorica",NA,NA,NA
"60","Asterales","Goodeniaceae","Scaevola","beckii",3.15,90.96,16.6,12.4,13.6,NA,NA,NA,NA,0.7,3.6,"simple",NA,NA,"Scaevola_beckii",3.6,13,NA
"61","Asterales","Phellinaceae","Phelline","comosa",2.8,47.23,19.78,23.2,36.1,NA,NA,NA,NA,5.4,6.3,"simple",NA,NA,"Phelline_comosa",6.3,29.65,NA
"65","Asterales","Rousseaceae","Abrophyllum","ornans",3.1,63.23,32.1,NA,NA,NA,3,11,20,3,7,"simple",NA,NA,"Abrophyllum_ornans",7,NA,NA
"66","Asterales","Rousseaceae","Carpodetus","serratus",6.88,54.69,16.82,4,6,NA,1,NA,NA,2,3,"simple",NA,NA,"Carpodetus_serratus",3,5,NA
"67","Asterales","Stylidiaceae","Stylidium","laricifolium",1.37,15.2,11.52,1,4,NA,NA,NA,NA,NA,1,"simple",NA,NA,"Stylidium_laricifolium",1,2.5,NA
"68","Austrobaileyales","Austrobaileyaceae","Austrobaileya","scandens",21.16,136.84,51.12,NA,NA,1.5,3,10,16,3.5,8,"simple",NA,NA,"Austrobaileya_scandens",8,NA,15.25
"69","Austrobaileyales","Schisandraceae","Illicium","mexicanum",8.1,38.57,18.01,NA,NA,0.6,2.6,5,21,1.5,6,"simple",NA,NA,"Illicium_mexicanum",6,NA,14.6
"70","Austrobaileyales","Trimeniaceae","Trimenia","moorei",16.93,90.96,15.75,5,10,0.6,1.5,NA,NA,1.5,4,"simple",NA,NA,"Trimenia_moorei",4,7.5,NA
"71","Austrobaileyales","Trimeniaceae","Trimenia","neocaledonica",4.41,78.1,28.91,6,14,0.6,1.4,NA,NA,2.5,6,"simple",NA,NA,"Trimenia_neocaledonica",6,10,NA
"72","Berberidopsidales","Aextoxicaceae","Aextoxicon","punctatum",11.6,40.18,7.39,3.5,9,NA,NA,NA,NA,1.5,3,"simple",NA,NA,"Aextoxicon_punctatum",3,6.25,NA
"73","Berberidopsidales","Berberidopsidaceae","Berberidopsis","beckleri",8.73,72.59,15.38,NA,NA,NA,2,3,6,2,5,"simple",NA,NA,"Berberidopsis_beckleri",5,NA,NA
"74","Berberidopsidales","Berberidopsidaceae","Streptothamnus","moorei",13.45,153.44,14.69,NA,NA,2,3,6,12,4,12,"simple",NA,NA,"Streptothamnus_moorei",12,NA,11.5
"75","Boraginales","Boraginaceae","Bourreria","sonorae",1.82,27.07,11.21,2.7,3.8,0.25,0.32,NA,NA,0.25,0.92,"simple",NA,NA,"Bourreria_sonorae",0.92,3.25,NA
"76","Boraginales","Boraginaceae","Cordia","curassavica",1.09,27.3,9.7,2.1,9.4,0.1,0.8,NA,NA,0.5,4,"simple",NA,NA,"Cordia_curassavica",4,5.75,NA
"77","Boraginales","Boraginaceae","Cordia","trichotoma",2.48,26.55,13.33,NA,NA,0.5,2.2,2,19,2,7,"simple",8.12,4.301,"Cordia_trichotoma",7,NA,11.85
"79","Brassicales","Akaniaceae","Akania","bidwillii",12.87,72.16,27.41,25,39.83,0,3.021,25,36.81,13.555,43.7,"compound",35.23,18.27,"Akania_bidwillii",43.7,32.415,32.4155
"80","Brassicales","Bataceae","Batis","maritima",1.46,31.25,14.31,0.5,2,0.2,0.3,0.5,2,0.144,0.94,"simple",1.198,NA,"Batis_maritima",0.94,1.25,1.5
"81","Brassicales","Caricaceae","Jacaratia","dolichaula",5.77,124.12,36.13,8.863,52,2.923,36.79,5.94,15.023,7.684,18.5,"compound",29.997,27.902,"Jacaratia_dolichaula",18.5,30.4315,30.338
"82","Brassicales","Caricaceae","Jacaratia","mexicana",13.17,173.47,40.74,19.11,27.628,7.19,12.411,9.916,12.28,10.671,21.972,"simple",NA,NA,"Jacaratia_mexicana",21.972,23.369,20.8985
"83","Brassicales","Forchhammeriaceae","Forchhammeria","watsonii",4.94,70.81,11.24,5.699,12.084,0.167,0.356,5.255,11.665,0.312,0.786,"simple",NA,NA,"Forchhammeria_watsonii",0.786,8.8915,8.7215
"84","Brassicales","Gyrostemonaceae","Codonocarpus","cotinifolius",4.3,108.42,24.94,5.629,4.973,0.761,1.461,3.766,4.289,1.702,4.001,"simple",NA,NA,"Codonocarpus_cotinifolius",4.001,5.301,5.1385
"85","Brassicales","Gyrostemonaceae","Gyrostemon","ramulosus",3.63,91.06,23.02,0.08,8.94,NA,NA,NA,NA,0.08,0.123,"simple",NA,NA,"Gyrostemon_ramulosus",0.123,4.51,NA
"86","Bruniales","Bruniaceae","Berzelia","lanuginosa",3,24.89,16.17,0.876,0.478,NA,NA,NA,NA,0.015,0.043,"simple",NA,NA,"Berzelia_lanuginosa",0.043,0.677,NA
"87","Bruniales","Columelliaceae","Desfontainia","spinosa",3.5,26.05,6.76,3.847,6.243,NA,NA,NA,NA,1.507,3.145,"simple",NA,NA,"Desfontainia_spinosa",3.145,5.045,NA
"88","Buxales","Buxaceae","Buxus","sempervirens",1.42,16.23,7.4,1,3,0.145,0.258,1.498,2.411,0.207,0.959,"simple",NA,NA,"Buxus_sempervirens",0.959,2,2.156
"89","Canellales","Canellaceae","Canella","winterana",20,238.6,63.28,4.869,9.861,0.725,1.397,4.241,8.464,1.55,3.305,"simple",NA,NA,"Canella_winterana",3.305,7.365,7.4135
"90","Caryophyllales","Achatocarpaceae","Achatocarpus","gracilis",4.32,35.23,9.87,1.617,7.483,0,0.921,0,3.912,0.516,1.916,"simple",NA,NA,"Achatocarpus_gracilis",1.916,4.55,2.4165
"91","Caryophyllales","Aizoaceae","Sesuvium","portulacastrum",0.75,23.42,9.96,1.166,3.376,0.325,0.58,1.166,3.376,0.313,0.579,"simple",NA,NA,"Sesuvium_portulacastrum",0.579,2.271,2.7235
"92","Caryophyllales","Amaranthaceae","Celosia","monosperma",3.74,29.44,22.8,6.649,10.814,0.944,2.648,5.525,8.801,4.438,2.228,"simple",NA,NA,"Celosia_monosperma",2.228,8.7315,8.959
"93","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana",2.64,19.61,8.58,1.985,3.303,NA,NA,1.984,3.303,0.479,1.423,"simple",NA,NA,"Froelichia_humboldtiana",1.423,2.644,NA
"94","Caryophyllales","Amaranthaceae","Iresine","arbuscula",14.23,57.11,22.61,27.737,13.886,1.737,3.543,12.24,24.443,5.153,14.16,"simple",NA,NA,"Iresine_arbuscula",14.16,20.8115,20.9815
"96","Caryophyllales","Basellaceae","Anredera","cordifolia",8.05,114.64,18.79,2.6,10.12,0.6,0.12,2,10,1,7,"simple",NA,NA,"Anredera_cordifolia",7,6.36,6.36
"111","Caryophyllales","Nyctaginaceae","Guapira","noxia",1.4,64.52,23.83,8.394,14.003,0.911,1.239,4.939,12.813,2.418,7.408,"simple",NA,NA,"Guapira_noxia",7.408,11.1985,9.951
"112","Caryophyllales","Nyctaginaceae","Guapira","petenensis",6.54,44.81,16.11,9.791,6.946,1.34,2.038,5.802,8.55,2.727,3.619,"simple",NA,NA,"Guapira_petenensis",3.619,8.3685,8.865
"113","Caryophyllales","Phytolaccaceae","Trichostigma","octandrum",27.6,129.95,29.08,5.483,8.917,1.486,2.765,1.321,8.072,2.004,4.819,"simple",NA,NA,"Trichostigma_octandrum",4.819,7.2,6.822
"114","Caryophyllales","Polygonaceae","Antigonon","leptopus",2.86,50.91,19.08,6,16.5,1,2.5,5,14,NA,NA,"simple",NA,NA,"Antigonon_leptopus",NA,11.25,11.25
"115","Caryophyllales","Polygonaceae","Eriogonum","affovalifolium",0.11,13.13,11.45,0.3,16,0.1,10,0.2,6,0.2,1.5,"simple",NA,NA,"Eriogonum_affovalifolium",1.5,8.15,8.15
"116","Caryophyllales","Polygonaceae","Eriogonum","elongatum",1.18,20.25,13.15,1.5,5,0.5,2,1,3,0.5,2,"simple",NA,NA,"Eriogonum_elongatum",2,3.25,3.25
"117","Caryophyllales","Polygonaceae","Eriogonum","fasciculatum",1.91,35.73,12.28,0.7,1.8,0.1,0.3,0.6,1.5,0.05,0.4,"simple",NA,NA,"Eriogonum_fasciculatum",0.4,1.25,1.25
"118","Caryophyllales","Polygonaceae","Podopterus","cordifolius",10.89,87.95,27.92,NA,2.9,NA,0.4,NA,2.5,NA,1.4,"simple",NA,NA,"Podopterus_cordifolius",1.4,NA,NA
"119","Caryophyllales","Polygonaceae","Rumex","sagittatus",7.67,79.27,28,3.15,3.73,0.91,1.26,2.01,2.58,1.19,5,"simple",NA,NA,"Rumex_sagittatus",5,3.44,3.38
"120","Caryophyllales","Simmondsiaceae","Simmondsia","chinensis",2.1,26.15,11.56,2,5.7,0,0.2,2,5.5,1,3,"simple",NA,NA,"Simmondsia_chinensis",3,3.85,3.85
"121","Caryophyllales","Tamaricaceae","Tamarix","ramosissima",7.8,105.29,12.54,0.15,0.35,NA,NA,0.15,0.35,0.03,0.09,"simple",NA,NA,"Tamarix_ramosissima",0.09,0.25,NA
"122","Celastrales","Celastraceae","Crossopetalum","uragoga",1.92,24.61,14.87,1.01,5.26,0.16,0.26,0.85,5,0.7,2.2,"simple",NA,NA,"Crossopetalum_uragoga",2.2,3.135,3.135
"123","Celastrales","Celastraceae","Euonymus","japonicus",2.27,18.85,9.09,2.2,6.3,0.2,0.9,2,5.5,2,3.5,"simple",NA,NA,"Euonymus_japonicus",3.5,4.25,4.3
"124","Celastrales","Celastraceae","Maytenus","disticha",0.72,20.81,7.46,0.69,0.8,0.06,0.12,0.63,0.68,0.42,0.51,"simple",NA,NA,"Maytenus_disticha",0.51,0.745,0.745
"125","Celastrales","Celastraceae","Maytenus","phyllanthoides",2.03,32.03,13.05,1.6,5.6,0.1,0.6,1.5,5,1,2.5,"simple",NA,NA,"Maytenus_phyllanthoides",2.5,3.6,3.6
"126","Celastrales","Celastraceae","Peritassa","campestris",0.83,51.15,18.71,5.9,15,0.4,1,5,14,2,3.5,"simple",NA,NA,"Peritassa_campestris",3.5,10.45,10.2
"127","Celastrales","Celastraceae","Plenckia","populnea",6.68,39.39,14.67,4.7,11.1,2,3.7,2.7,7.4,NA,2.5,"simple",NA,NA,"Plenckia_populnea",2.5,7.9,7.9
"128","Celastrales","Celastraceae","Semialarium","mexicanum",32.88,148.28,23.56,1.8,14.7,0.2,1.2,1.6,13.5,1,9,"simple",NA,NA,"Semialarium_mexicanum",9,8.25,8.25
"129","Celastrales","Celastraceae","Wimmeria","bartlettii",17,59.58,10.54,5.5,11,0.6,1,6.1,12,2.2,4,"simple",NA,NA,"Wimmeria_bartlettii",4,8.25,9.85
"130","Chloranthales","Chloranthaceae","Ascarina","lucida",4.57,53.38,11.96,2.8,9,0.8,1,2,8,1.5,3.8,"simple",NA,NA,"Ascarina_lucida",3.8,5.9,5.9
"131","Chloranthales","Chloranthaceae","Ascarina","rubricaulis",5.01,66.03,18.39,4,10,0.4,1.2,4.4,11.2,1,2.5,"simple",NA,NA,"Ascarina_rubricaulis",2.5,7,8.6
"132","Chloranthales","Chloranthaceae","Ascarina","solmsiana",4.36,70.48,26.08,4,8,0.4,1.5,3.6,6.5,1,3.5,"simple",NA,NA,"Ascarina_solmsiana",3.5,6,6
"134","Chloranthales","Chloranthaceae","Hedyosmum","aff_cuatrecazanum",1.6,22.7,15.13,6.92,11.92,1.05,1.43,5.87,10.49,2.24,4.1,"simple",NA,NA,"Hedyosmum_aff_cuatrecazanum",4.1,9.42,9.42
