"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"137","Dipsacales","Cornaceae","Cornus","Cornus_alternifolia",4.57,46.67,12.98,5.08,12.7,NA,NA,NA,NA,"simple",NA,8.89,NA,8.89
"138","Ericales","Actinidiaceae","Actinidia","Actinidia_deliciosa",11.6,196.43,39.64,14.48,14.86,NA,NA,NA,NA,"simple",NA,14.67,NA,14.67
"139","Ericales","Actinidiaceae","Saurauia","Saurauia_scabrida",8.07,108.47,38.51,10,30,NA,NA,NA,NA,"simple",NA,20,NA,20
"140","Ericales","Clethraceae","Clethra","Clethra_alnifolia",2.78,36.35,12.32,NA,NA,2.5,3.5,5,9,"simple",NA,NA,10,10
"141","Ericales","Ebenaceae","Diospyros","Diospyros_intricata",2.22,33.81,8.36,0.7,1,NA,NA,NA,NA,"simple",NA,0.85,NA,0.85
"142","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_glandulosa",2.14,22.79,9.58,NA,NA,0.5,1,2,4.5,"simple",NA,NA,4,4
"143","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_patula",1.38,22.28,9.42,NA,NA,0.7,1.5,2.5,6,"simple",NA,NA,5.35,5.35
"144","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_peninsularis",1.47,25.7,9.62,2,3.2,NA,NA,NA,NA,"simple",NA,2.6,NA,2.6
"145","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_pringlei",1.72,21.36,9.36,3.5,4.6,NA,NA,NA,NA,"simple",NA,4.05,NA,4.05
"146","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva_ursi",1.05,24.5,9.04,1.27,3.175,NA,NA,NA,NA,"simple",NA,2.2225,NA,2.2225
"147","Ericales","Ericaceae","Calluna","Calluna_vulgaris",0.69,21.42,12.43,0.127,0.35,NA,NA,NA,NA,"simple",NA,0.2385,NA,0.2385
"148","Ericales","Ericaceae","Cyathodes","Cyathodes_straminea",0.53,25.19,9.87,0.6,1.1,NA,NA,NA,NA,"simple",NA,0.85,NA,0.85
"149","Ericales","Ericaceae","Daboecia","Daboecia_cantabrica",0.7,16.9,8.85,0.635,1.5875,NA,NA,NA,NA,"simple",NA,1.11125,NA,1.11125
"150","Ericales","Ericaceae","Disterigma","Disterigma_alaternoides",0.74,21.97,10.84,0.9,3.1,NA,NA,NA,NA,"simple",NA,2,NA,2
"151","Ericales","Ericaceae","Dracophyllum","Dracophyllum_ramosum",3.35,65.76,9.4,4.2,9,NA,NA,NA,NA,"simple",NA,6.6,NA,6.6
"152","Ericales","Ericaceae","Dracophyllum","Dracophyllum_verticillatum",3.33,31.98,37.11,34.1,37.7,NA,NA,NA,NA,"simple",NA,35.9,NA,35.9
"153","Ericales","Ericaceae","Erica","Erica_cinerea",1,19.19,9.9,NA,NA,0.01,0.03,0.25,0.5,"simple",NA,NA,0.395,0.395
"154","Ericales","Ericaceae","Erica","Erica_vagans",0.95,25.13,14.23,NA,NA,0.05,0.1,0.45,0.6,"simple",NA,NA,0.6,0.6
"155","Ericales","Ericaceae","Gaultheria","Gaultheria_aff_glomerata",0.58,18.29,10.82,2,5.5,2.5,4,NA,NA,"simple",NA,3.75,NA,3.75
"156","Ericales","Ericaceae","Gaultheria","Gaultheria_foliolosa",2.93,34.82,11.12,0.6,1,NA,NA,NA,NA,"simple",NA,0.8,NA,0.8
"157","Ericales","Ericaceae","Gaultheria","Gaultheria_hispida",0.77,25.14,12.91,2.54,5.715,NA,NA,NA,NA,"simple",NA,4.1275,NA,4.1275
"158","Ericales","Ericaceae","Gaultheria","Gaultheria_mucronata",0.69,25.46,9.87,1,1.8,NA,NA,NA,NA,"simple",NA,1.4,NA,1.4
"159","Ericales","Ericaceae","Gaultheria","Gaultheria_reticulata",1.18,21.77,9.47,2.2,5.2,NA,NA,NA,NA,"simple",NA,3.7,NA,3.7
"160","Ericales","Ericaceae","Kalmia","Kalmia_latifolia",2.82,30.14,11.85,5.08,12.7,NA,NA,NA,NA,"simple",NA,8.89,NA,8.89
"161","Ericales","Ericaceae","Leptecophylla","Leptecophylla_juniperina",0.58,21.55,6.49,0.42,1.8,NA,NA,NA,NA,"simple",NA,1.11,NA,1.11
"162","Ericales","Ericaceae","Lyonia","Lyonia_ligustrina",2.3,26.79,12.26,2.3,5,NA,NA,NA,NA,"simple",NA,3.65,NA,3.65
"163","Ericales","Ericaceae","Rhododendron","Rhododendron_ferrugineum",0.66,17.27,10.44,2.1,4.1,NA,NA,NA,NA,"simple",NA,3.1,NA,3.1
"164","Ericales","Ericaceae","Richea","Richea_pandanifolia",2.07,30.89,5.83,91.9,93.5,NA,NA,NA,NA,"simple",NA,92.7,NA,92.7
"165","Ericales","Ericaceae","Richea","Richea_scoparia",1.2,22.54,8.19,1.905,5.08,NA,NA,NA,NA,"simple",NA,3.4925,NA,3.4925
"166","Ericales","Ericaceae","Richea","Richea_sprengelioides",0.62,17.82,8.53,0.7,1.6,NA,NA,NA,NA,"simple",NA,1.15,NA,1.15
"167","Ericales","Ericaceae","Styphelia","Styphelia_cymbulae",5.42,54,11.76,1.9,8.3,NA,NA,NA,NA,"simple",NA,5.1,NA,5.1
"168","Ericales","Ericaceae","Trochocarpa","Trochocarpa_cunninghamii",0.77,24.85,6.37,1.1,1.4,NA,NA,1.1,1.4,"simple",NA,1.25,NA,1.25
"169","Ericales","Ericaceae","Trochocarpa","Trochocarpa_laurina",4.69,35.69,9.78,4.1,8.3,NA,NA,NA,NA,"simple",NA,6.2,NA,6.2
"170","Ericales","Ericaceae","Vaccinium","Vaccinium_corymbosum",2.77,31.64,9.89,2.54,8.89,NA,NA,NA,NA,"simple",NA,5.715,NA,5.715
"171","Ericales","Ericaceae","Vaccinium","Vaccinium_myrtillus",0.65,18.52,9.56,1,3,0,0.1,NA,NA,"simple",NA,2,NA,2
"172","Ericales","Fouquieriaceae","Fouquieria","Fouquieria_diguetii",4.94,73.94,13.28,NA,NA,NA,NA,NA,2.07,"simple",2.07,NA,NA,2.07
"173","Ericales","Primulaceae","Bonellia","Bonellia_macrocarpa_subsp_pungens",9.3,65.2,8.84,3.5,9.5,0.1,0.3,NA,NA,"simple",NA,6.5,NA,6.5
"174","Ericales","Primulaceae","Myrsine","Myrsine_guianensis",3.31,66.2,17.8,4.8,8.8,NA,NA,NA,NA,"simple",NA,6.8,NA,6.8
"175","Ericales","Sapotaceae","Pouteria","Pouteria_campechiana",21.92,97.91,14.66,7.1,33.3,0.6,3.3,6.5,30,"simple",NA,20.2,20.2,20.2
"176","Ericales","Sapotaceae","Sideroxylon","Sideroxylon_obtusifolium",8.72,58.42,10.13,3.5,6.3,NA,NA,NA,NA,"simple",NA,4.9,NA,4.9
"177","Ericales","Styracaceae","Styrax","Styrax_argenteus",19,99.45,33.13,7.5,20.5,1,2.5,6.5,18,"simple",NA,14,14,14
"178","Ericales","Symplocaceae","Symplocos","Symplocos_celastrifolia",7.27,68.07,17.03,0.5,NA,NA,0.5,NA,NA,"simple",8.9,NA,NA,8.9
"179","Ericales","Symplocaceae","Symplocos","Symplocos_cf_reflexa",0.74,47.82,24.03,5.1,7.1,0.27,0.38,4.8,6.7,"simple",NA,6.1,6.075,6.075
"180","Escalloniales","Escalloniaceae","Anopterus","Anopterus_glandulosus",3.98,35.37,18.02,7.9,22,0.52,2.1,7.4,19.9,"simple",NA,14.95,14.96,14.96
"181","Escalloniales","Escalloniaceae","Escallonia","Escallonia_rubra",0.93,22.79,8.72,1.8,4.5,0.14,0.46,1.7,4,"simple",NA,3.15,3.15,3.15
"182","Escalloniales","Escalloniaceae","Escallonia","Escallonia_virgata",2.15,27.24,6.99,0.6,1.7,NA,NA,NA,NA,"simple",NA,1.15,NA,1.15
"183","Escalloniales","Escalloniaceae","Polyosma","Polyosma_rhytophloia",7.99,61.09,20.09,9.9,16.1,0.9,2.1,9,14,"simple",NA,13,13,13
"184","Fabales","Fabaceae","Acacia","Acacia_binervia",8.93,89.8,19.53,6,15,NA,NA,NA,NA,"compound",NA,10.5,NA,10.5
"185","Fabales","Fabaceae","Acacia","Acacia_farnesiana",5.05,66.95,8.18,1.8,5.7,0.3,0.9,1.5,4.8,"compound",NA,3.75,3.75,3.75
"186","Fabales","Fabaceae","Acacia","Acacia_grasbyi",4.09,44.86,14.06,3,10,NA,NA,NA,NA,"compound",NA,6.5,NA,6.5
"187","Fabales","Fabaceae","Acacia","Acacia_greggii",2.63,52.07,15.05,2.5,7.6,0.3,0.7,NA,NA,"compound",NA,5.05,NA,5.05
"188","Fabales","Fabaceae","Acacia","Acacia_latescens",6.8,82.83,22.32,8,26,NA,NA,NA,NA,"compound",NA,17,NA,17
"189","Fabales","Fabaceae","Acacia","Acacia_spirorbis",6.07,81.55,15.12,9,17,NA,NA,NA,NA,"compound",NA,13,NA,13
"190","Fabales","Fabaceae","Amburana","Amburana_cearensis",6.67,74.83,16.67,8,25,2,3,6,22,"compound",NA,16.5,16.5,16.5
"191","Fabales","Fabaceae","Anadenanthera","Anadenanthera_colubrina",7.55,60.5,13.19,10,26,1.1,3.5,5.9,22.5,"compound",NA,18,16.5,16.5
"192","Fabales","Fabaceae","Arthroclianthus","Arthroclianthus_grandifolius",6.15,73.07,15.98,13.7,17.6,1.7,2.6,12,15,"compound",NA,15.65,15.65,15.65
"193","Fabales","Fabaceae","Astragalus","Astragalus_circumdatus",0.13,11.75,5.92,2.7,5.6,1.1,1.8,1.6,3.8,"compound",NA,4.15,4.15,4.15
"194","Fabales","Fabaceae","Bauhinia","Bauhinia_cheilantha",4.96,34.55,12.18,3.4,12.7,0.65,2.4,2.8,10.3,"simple",NA,8.05,8.075,8.075
"195","Fabales","Fabaceae","Bauhinia","Bauhinia_rufa",4.22,55.53,10.74,6.3,15.1,0.8,2.4,5.5,12.7,"simple",NA,10.7,10.7,10.7
"196","Fabales","Fabaceae","Caesalpinia","Caesalpinia_gardneriana",6.23,49.1,14.26,7.6,14.3,1.7,2.7,5.9,11.6,"compound",NA,10.95,10.95,10.95
"197","Fabales","Fabaceae","Cercidium","Cercidium_peninsulare",7.74,60.37,10.41,1.2,2.9,0.25,0.8,1.4,2.1,"compound",NA,2.05,2.275,2.275
"198","Fabales","Fabaceae","Chamaecrista","Chamaecrista_zygophylloides",2.87,33.71,10.62,2,6.5,1.7,3.8,NA,NA,"compound",NA,4.25,NA,4.25
"199","Fabales","Fabaceae","Chloroleucon","Chloroleucon_foliolosum",5.68,59.97,14.56,4.7,10.2,0.5,2.2,4.2,8,"compound",NA,7.45,7.45,7.45
"200","Fabales","Fabaceae","Cynometra","Cynometra_oaxacana",9.71,74.35,24.67,3.9,6.4,0.4,0.4,3.5,6,"simple",NA,5.15,5.15,5.15
"201","Fabales","Fabaceae","Cytisus","Cytisus_scoparius",3.17,43.27,10.91,0.7,1.8,0.2,0.8,0.5,1,"compound",NA,1.25,1.25,1.25
"202","Fabales","Fabaceae","Dussia","Dussia_mexicana",30,232.91,52.56,33.1,64.4,9.1,20.5,24,43.9,"compound",NA,48.75,48.75,48.75
"203","Fabales","Fabaceae","Ebenopsis","Ebenopsis_confinis",0.7,39.72,11.51,2.1,3.5,0.5,1.3,1.6,2.2,"compound",NA,2.8,2.8,2.8
"204","Fabales","Fabaceae","Entada","Entada_phaseoloides",55,250.26,46.64,10.5,20.4,2,7.4,8.5,13,"compound",NA,15.45,15.45,15.45
"205","Fabales","Fabaceae","Entada","Entada_polystachya",22.43,271.96,51,16.1,30.8,4,8,NA,NA,"compound",31.5,23.45,NA,23.45
"206","Fabales","Fabaceae","Erythrina","Erythrina_flabelliformis",3.79,104.17,19.78,11.5,19.6,5,8.7,6.5,10.9,"compound",NA,15.55,15.55,15.55
"207","Fabales","Fabaceae","Erythrina","Erythrina_lanata",4.96,119.02,26.13,13.5,23.5,6.3,9.6,7.2,13.9,"compound",NA,18.5,18.5,18.5
"208","Fabales","Fabaceae","Gompholobium","Gompholobium_latifolium",2.59,47.67,32.27,0.85,1.76,0.15,0.26,0.7,1.5,"compound",NA,1.305,1.305,1.305
"209","Fabales","Fabaceae","Libidibia","Libidibia_ferrea",7.57,65.64,17.94,10.6,15.1,1.4,4.1,9.2,11,"compound",NA,12.85,12.85,12.85
"210","Fabales","Fabaceae","Lupinus","Lupinus_excubitus",0.09,23,10.62,3.2,15.9,4,15,NA,NA,"compound",11.15,9.55,NA,9.55
"211","Fabales","Fabaceae","Lysiloma","Lysiloma_candida",6.96,65.37,13.62,3,7,NA,NA,NA,NA,"compound",NA,5,NA,5
"212","Fabales","Fabaceae","Machaerium","Machaerium_cobanense",22,232.67,28.42,7.8,18.6,0.9,3.2,6.9,15.4,"compound",NA,13.2,13.2,13.2
"213","Fabales","Fabaceae","Machaerium","Machaerium_floribundum",21.35,96.14,24.58,20.2,41.3,4.2,10.7,16.1,30.6,"compound",NA,30.75,30.8,30.8
"214","Fabales","Fabaceae","Mimosa","Mimosa_ophthalmocentra",5.7,55.92,16.33,1.94,3.3,0.24,0.5,1.7,2.8,"compound",NA,2.62,2.62,2.62
"215","Fabales","Fabaceae","Mimosa","Mimosa_tenuiflora",4.6,55.62,14.43,4,8.5,1,2.2,3,6.3,"compound",NA,6.25,6.25,6.25
"216","Fabales","Fabaceae","Ottleya","Ottleya_rigida",0.54,21.08,13.11,1.3,2.4,0.1,0.3,1.2,2.1,"compound",NA,1.85,1.85,1.85
"217","Fabales","Fabaceae","Piptadenia","Piptadenia_stipulacea",6.5,67.94,14.9,5.1,15.9,1.7,4.4,3.4,11.5,"compound",NA,10.5,10.5,10.5
"218","Fabales","Fabaceae","Psorothamnus","Psorothamnus_arborescens",1.19,32.08,8,1.6,2.9,0.6,1.2,1,1.7,"compound",NA,2.25,2.25,2.25
"219","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron_adstringens",4.13,122.84,21.93,24.8,34.8,4.5,5.8,20.3,29,"compound",NA,29.8,29.8,29.8
"220","Fabales","Fabaceae","Stylosanthes","Stylosanthes_viscosa",0.93,22.15,11.15,0.7,1.5,0.2,0.5,0.5,1,"compound",NA,1.1,1.1,1.1
"221","Fabales","Fabaceae","Syrmatium","Syrmatium_glabrum",1.57,27.37,13.65,1.2,3,0.2,0.6,1,2.4,"compound",NA,2.1,2.1,2.1
"222","Fabales","Fabaceae","Ulex","Ulex_gallii",1.6,36.16,9.81,0.5,3,NA,NA,NA,NA,"compound",NA,1.75,NA,1.75
"223","Fabales","Fabaceae","Vatairea","Vatairea_lundellii",32.5,170,37.02,14,46,NA,NA,NA,NA,"compound",NA,30,NA,30
"224","Fabales","Polygalaceae","Comesperma","Comesperma_ericinum",1.17,20.05,12.36,NA,NA,0.4,0.6,0.5,2.5,"simple",NA,NA,2,2
"225","Fagales","Betulaceae","Alnus","Alnus_glutinosa",12.04,53.27,9.13,NA,NA,11,32,4,12,"simple",NA,NA,29.5,29.5
"226","Fagales","Betulaceae","Betula","Betula_lenta",18.07,90.43,11.86,NA,NA,0.635,2.54,5,15.24,"simple",NA,NA,11.7075,11.7075
"227","Fagales","Betulaceae","Betula","Betula_pubescens",7.07,55.53,11.97,NA,NA,0.84,1.9,3.81,6.35,"simple",NA,NA,6.45,6.45
"228","Fagales","Betulaceae","Carpinus","Carpinus_caroliniana",7.5,48.12,12.52,3,13,0.635,1.27,5.04,10.16,"simple",NA,8,8.5525,8.5525
"229","Fagales","Betulaceae","Corylus","Corylus_avellana",3.2,35.57,10.01,NA,NA,0.635,1.27,5.08,10.16,"simple",NA,NA,8.5725,8.5725
"230","Fagales","Betulaceae","Ostrya","Ostrya_virginiana",7.21,47.36,10.32,4.5,14,NA,0.6,8,10,"simple",NA,9.25,NA,9.25
"231","Fagales","Casuarinaceae","Casuarina","Casuarina_equisetifolia",14.7,92.08,9.62,0.5,0.8,NA,NA,NA,NA,"simple",NA,0.65,NA,0.65
"232","Fagales","Fagaceae","Castanea","Castanea_sativa",6.75,84.62,15.95,14,22.5,1.27,2.54,12.7,22.86,"simple",NA,18.25,19.685,19.685
"233","Fagales","Fagaceae","Fagus","Fagus_sylvatica",11.57,49,9.26,NA,NA,0.3,1,4,10,"simple",NA,NA,7.65,7.65
"234","Fagales","Fagaceae","Quercus","Quercus_alba",23.58,104.79,20.34,NA,NA,0.6,2.5,12.5,21,"simple",NA,NA,18.3,18.3
"235","Fagales","Fagaceae","Quercus","Quercus_berberidifolia",3.81,88,17.98,NA,NA,0.2,0.4,1.5,3,"simple",NA,NA,2.55,2.55
"236","Fagales","Fagaceae","Quercus","Quercus_chrysolepis",2.79,58.88,9.43,NA,NA,0.3,1.4,2,7,"simple",NA,NA,5.35,5.35
"237","Fagales","Fagaceae","Quercus","Quercus_cornelius-mulleri",2.43,56.89,12.02,NA,NA,0.2,0.5,1.5,3.5,"simple",NA,NA,2.85,2.85
"238","Fagales","Fagaceae","Quercus","Quercus_peninsularis",1.51,37.23,13.68,NA,NA,0.55,0.7,5.04,5.4,"simple",NA,NA,5.845,5.845
"239","Fagales","Fagaceae","Quercus","Quercus_pyrenaica",6.23,102.36,13.15,NA,NA,0.63,1.9,7.62,22.86,"simple",NA,NA,16.505,16.505
"240","Fagales","Fagaceae","Quercus","Quercus_robur",16.67,106.54,17,NA,NA,0.3,0.6,7,15,"simple",NA,NA,11.45,11.45
"241","Fagales","Fagaceae","Quercus","Quercus_rubra",26.19,136.15,15.69,NA,NA,1.8,5.8,11.5,20,"simple",NA,NA,19.55,19.55
"242","Fagales","Juglandaceae","Carya","Carya_ovata",28.46,117.13,9.58,NA,NA,5.5,8.43,16,31.28,"compound",NA,NA,30.605,30.605
"243","Fagales","Myricaceae","Comptonia","Comptonia_peregrina",0.7,22.91,10.86,NA,NA,0.32,0.63,3,15.5,"simple",NA,NA,9.725,9.725
"244","Fagales","Nothofagaceae","Nothofagus","Nothofagus_antarctica",7.73,39.62,8.86,NA,NA,0.21,0.42,1.27,2.54,"simple",NA,NA,2.22,2.22
"245","Fagales","Nothofagaceae","Nothofagus","Nothofagus_cunninghamii",3.63,43.5,8.45,NA,NA,0.145,0.275,1.19,1.87,"simple",NA,NA,1.74,1.74
"246","Fagales","Nothofagaceae","Nothofagus","Nothofagus_dombeyi",4.63,33.69,8.62,NA,NA,NA,0.21,1.9,3.81,"simple",3.06,NA,NA,3.06
"247","Fagales","Nothofagaceae","Nothofagus","Nothofagus_gunnii",6.29,35.7,8.02,NA,NA,0,0.3,1,2,"simple",NA,NA,1.65,1.65
"248","Fagales","Nothofagaceae","Nothofagus","Nothofagus_pumilio",3.03,35.24,6.9,NA,NA,0.32,0.63,1.9,3.17,"simple",NA,NA,3.01,3.01
"249","Garryales","Garryaceae","Aucuba","Aucuba_japonica",0.57,22.64,11.96,NA,NA,1.27,5.08,8,20,"simple",NA,NA,17.175,17.175
"250","Garryales","Garryaceae","Garrya","Garrya_grisea",1.28,20.27,8.65,NA,NA,0.32,0.54,2.98,3.43,"simple",NA,NA,3.635,3.635
"251","Garryales","Garryaceae","Garrya","Garrya_laurifolia",8.8,55.86,19.36,NA,NA,1,2.5,5,16,"simple",NA,NA,12.25,12.25
"252","Gentianales","Apocynaceae","Allamanda","Allamanda_blanchetii",3.16,51.41,16.42,NA,NA,NA,NA,4.37,7.07,"simple",5.72,NA,NA,5.72
"253","Gentianales","Apocynaceae","Alyxia","Alyxia_leucogyne",3.73,53.16,13.11,NA,NA,2,2.5,7,9,"simple",NA,NA,10.25,10.25
"254","Gentianales","Apocynaceae","Araujia","Araujia_sericifera",8.68,78.6,39.12,NA,NA,1.4,2.5,6,8.5,"simple",NA,NA,9.2,9.2
"255","Gentianales","Apocynaceae","Asclepias","Asclepias_subulata",0.76,19.97,10.49,2,8,NA,NA,NA,NA,"simple",NA,5,NA,5
"256","Gentianales","Apocynaceae","Aspidosperma","Aspidosperma_pyrifolium",6.53,40.05,11.75,NA,NA,11.4,1.87,5.02,6.67,"simple",NA,NA,12.48,12.48
"257","Gentianales","Apocynaceae","Cascabela","Cascabela_ovata",8.45,49,12.78,NA,NA,0.5,1.5,5.5,18.5,"simple",NA,NA,13,13
"258","Gentianales","Apocynaceae","Cerberiopsis","Cerberiopsis_candelabra",7.98,69.25,18.35,NA,NA,3.5,4.8,35,40,"simple",NA,NA,41.65,41.65
"259","Gentianales","Apocynaceae","Forsteronia","Forsteronia_acouci",20.2,135.68,26.96,3.5,12,0.3,0.7,8,14.4,"simple",NA,7.75,11.7,11.7
"260","Gentianales","Apocynaceae","Plumeria","Plumeria_rubra",3.25,61.82,18.5,NA,NA,1,3,9.4,34,"simple",NA,NA,23.7,23.7
"261","Gentianales","Apocynaceae","Tonduzia","Tonduzia_longifolia",4.44,25.77,17.82,NA,NA,0.5,1.5,3.5,20,"simple",NA,NA,12.75,12.75
"262","Gentianales","Apocynaceae","Vallesia","Vallesia_glabra",3.46,44.43,10.91,NA,NA,0.5,1,3,9,"simple",NA,NA,6.75,6.75
"263","Gentianales","Rubiaceae","Coprosma","Coprosma_nitida",1.91,28.77,6.44,NA,NA,0.05,0.08,0.58,0.85,"simple",NA,NA,0.78,0.78
"264","Gentianales","Rubiaceae","Morinda","Morinda_jasminoides",5.97,99.27,30.9,NA,NA,0.39,0.52,3.66,5.37,"simple",NA,NA,4.97,4.97
"265","Gentianales","Rubiaceae","Pomax","Pomax_umbellata",0.21,19.6,5.58,NA,NA,0.1,0.9,0.4,3,"simple",NA,NA,2.2,2.2
"266","Gentianales","Rubiaceae","Psychotria","Psychotria_rupicola",0.72,27.98,9.44,NA,NA,0.4,0.93,5,7.77,"simple",NA,NA,7.05,7.05
"267","Gentianales","Rubiaceae","Randia","Randia_capitata",2.64,28.39,13.54,NA,NA,0.3,1.2,2,7,"simple",NA,NA,5.25,5.25
"268","Gentianales","Rubiaceae","Thiollierea","Thiollierea_macrophylla",1.64,30.96,13.31,NA,NA,3.22,4.75,14.21,17.3,"simple",NA,NA,19.74,19.74
"269","Geraniales","Geraniaceae","Pelargonium","Pelargonium_hortorum",0.99,39.3,19.43,NA,NA,4,18,3.5,11,"simple",NA,NA,18.25,18.25
"270","Geraniales","Melianthaceae","Melianthus","Melianthus_major",1.67,32.87,23.39,NA,NA,NA,8.6,29.36,45,"compound",45.78,NA,NA,45.78
"271","Huerteales","Dipentodontaceae","Perrottetia","Perrottetia_longistylis",17,53.35,22.78,NA,NA,0.7,0.9,7,20,"simple",NA,NA,14.3,14.3
"272","Huerteales","Dipentodontaceae","Perrottetia","Perrottetia_ovata",7,43.26,22.3,NA,NA,0.57,0.78,9.56,11.04,"simple",NA,NA,10.975,10.975
"273","Huerteales","Huerteaceae","Huertea","Huertea_cubensis",10.9,74.01,7.06,NA,NA,6.68,9.28,23.43,30.95,"compound",NA,NA,35.17,35.17
"274","Huerteales","Petenaeaceae","Petenaea","Petenaea_cordata",9.3,92.28,14.23,NA,NA,0.5,1.1,8.5,15.5,"simple",NA,NA,12.8,12.8
"275","Icacinales","Oncothecaceae","Oncotheca","Oncotheca_humboldtiana",7.72,64.79,15.14,9,18,NA,NA,NA,NA,"simple",NA,13.5,NA,13.5
"276","Lamiales","Acanthaceae","Ruellia","Ruellia_californica",0.82,21.64,6.69,1,8.2,NA,NA,NA,NA,"simple",NA,4.6,NA,4.6
"277","Lamiales","Bignoniaceae","Amphilophium","Amphilophium_crucigerum",24,83.77,39.11,11.89,17.21,NA,NA,NA,NA,"compound",NA,14.55,NA,14.55
"278","Lamiales","Bignoniaceae","Callichlamys","Callichlamys_latifolia",37.75,155.03,43.49,16.52,26.31,NA,NA,NA,NA,"compound",NA,21.415,NA,21.415
"279","Lamiales","Bignoniaceae","Chilopsis","Chilopsis_linearis",4.93,109.47,24.5,5.5,9,NA,NA,NA,NA,"simple",NA,7.25,NA,7.25
"280","Lamiales","Bignoniaceae","Fridericia","Fridericia_patellifera",11.2,91.36,26.64,4.7,14.5,NA,NA,NA,NA,"compound",NA,9.6,NA,9.6
"281","Lamiales","Bignoniaceae","Fridericia","Fridericia_schumanniana",32.72,166.84,35.66,14.43,21,NA,NA,NA,NA,"compound",NA,17.715,NA,17.715
"282","Lamiales","Bignoniaceae","Handroanthus","Handroanthus_impetiginosus",12.63,76.04,19.38,20.82,41.15,NA,NA,NA,NA,"compound",NA,30.985,NA,30.985
